address,spx
0xfee5e0d8b2f364f17f34b0b8698bdd0751cb2d74,6123.07652318
0x75bd7382d1d77d94c5c203fa917f70dfc96f2c00,6120.16479751
0x4188c4cd0d7cd95fe54e8c55ccd2d057b9d01980,6000.00000077
0x15699ff33ebedf4c426619d81701b1ef7e253fc6,5883.61391092
0xcbf0ee2e330760f68358163570dd62a9d3b10f27,5859.54384313
0x5685dc5993bbe9b098cf795102d3d1e51aa05408,5782.64698249
0x3b6c69e7132aac03783f0be19442ccfe4ec37465,5758.53060864
0x942c1d69d59a59a1e0c1c429e1dd39bd74f75e96,5739.70424826
0xf98aa0c02e598ab2f49953c8857ce64dcb64ce99,5727.81542562
0xe4f350fccc5ec9a9cda566b0b8c986089be10b57,5193
0x657b996e69f98b82951edfb5868c7ea3894c8c70,5167.01872347
0x2f88aad8a9bdad26b24af20ae4055daa21021679,5000.63918925
0x63da4914afdd6d1a3770214c1428db4c06bbf3af,5000.58174676
0xb02cbe244f87cbb003d0feec99a60dc721d44581,5000.0010011
0xf72aebbd82355ad657333fd9262b5f8966a47f6a,5000.00044607
0x7b7551e1548145522febd1022e07525073c53c97,5000.00000149
0xa362a9676db12606d339d10433c1af3618bca1d4,5000
0xa85fea7a847b295822b6899937ef853e12601373,4996.91462
0x73584183165518b67eb66a74d6fc6374cf8959bc,4943.44107537
0x952723f9c329f59f1961efb2173ae1ad0ee624e8,4868.95872623
0xca286549c8a3ad78ba2e43a49240e12d2d58ce70,4705.73778089
0x00e81b2be055776cf3501493cbfb8853d6031dae,4422.1634908
0x30c4a4873d3b7be8d061519e1ca777fc0fdc41b6,4344.80385485
0x64568ee39f81b58020826ed9eff167a65cac769c,4299.77896861
0x965256e61aee113474eaa145dc6eb3c51461074a,3694.21712241
0xe7f55a045cd31918d0bd67020a39684bf065b090,3489.81483828
0xd7aa97fb443acdc38622056b963a5e8893f18c1f,3305.768476
0x6dc1ae0f4eec854b4a6b25e23eed3c8f415082af,3233
0x0b55e2bc2a560e61ff4cc6b276dc13c969193b95,3000
0x6901370415c2a27e1d19e4690ae39829c01936a1,3000
0xc5d3bcb5a23f45d92a24b371ebecbdac7463ff34,2921.05224379
0xb60acdeecf59e460051ca23ce6adbeeb8a58e385,2918.10787797
0x2aeeb8e73d561939dfca111b50d77d19fb28b004,2866.18525574
0xa4856cabc2aad10682dc3675a290ff5c54feccb9,2789.53378948
0x66b8b65fc4066798b64f6d1c1358edfc1ba1a20f,2761.26821475
0x7957ef86112535f4db83e3a87b24b0c6b386c102,2647.88304925
0xc540df5be9fdada8c4dc8816b4bb7c0878050d63,2500.00000222
0x7eec48d43fac9e60d49bba8756fd965aa6942997,2500.00000153
0xf5862660ae91ac6f4d56686d6b59705a72b145a2,2500
0x6a71ae86b120516796bd5e96ac7f67d92ebd7b2c,2300
0xe637dfb607b943e5dcf9f3594ac4ee67956e2311,2069
0x202b01344af9b0349817c0df98ec8d78491d2478,2038.04732405
0xcf022afd0289fca630eef7c9ea71bab943de6764,1931.2966041
0xe6a5cabb327bb22d4c6387b0016f23ad0c3ad07c,1928
0x96603ad1859b3ec43204cfd1865b5dbf6f6bee70,1922.7584689
0xd6200961b7e09ae4b8af4002542380e27bc8ab39,1708.5095193
0xacdf7da9c825b44b428b4b4fd7d51860785d461e,1705.9011387
0x300a655ccfb755fc1f7d0e64002b7b02566ce412,1563.52815869
0xaa5fb47246678d9d17d4c83cbd2680872d2fdc3b,1548
0x6ff2b32e08158eb685328f77176c5519e84469e7,1543.91514396
0x7926fb0720743e677b1e5effb9154f86aa593e54,1500
0xb69c2565a3bc61fe94c8d79bef2d194c1481bd0e,1478.66777238
0xedeb5cbf32d108163129958e8e6b22c4450f4323,1458.62385692
0x27cf0a01c7a4585924eabf830a003391bc653b2a,1447.99385538
